unique_id,image_name,material,defect_type,label,image_path
grid_train_grid_good_000.png,000.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/000.png
grid_train_grid_good_001.png,001.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/001.png
grid_train_grid_good_002.png,002.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/002.png
grid_train_grid_good_003.png,003.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/003.png
grid_train_grid_good_004.png,004.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/004.png
grid_train_grid_good_005.png,005.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/005.png
grid_train_grid_good_006.png,006.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/006.png
grid_train_grid_good_007.png,007.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/007.png
grid_train_grid_good_008.png,008.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/008.png
grid_train_grid_good_009.png,009.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/009.png
grid_train_grid_good_010.png,010.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/010.png
grid_train_grid_good_011.png,011.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/011.png
grid_train_grid_good_012.png,012.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/012.png
grid_train_grid_good_013.png,013.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/013.png
grid_train_grid_good_014.png,014.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/014.png
grid_train_grid_good_015.png,015.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/015.png
grid_train_grid_good_016.png,016.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/016.png
grid_train_grid_good_017.png,017.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/017.png
grid_train_grid_good_018.png,018.png,grid_train,grid_good,0,/content/drive/MyDrive/AnomalyDetection/Datamining_dataset/Train/grid_train/grid_good/018.png
